A,label
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.01,normal
0.01,normal
0.0,normal
-0.03,normal
-0.05,normal
-0.05,normal
0.0,normal
0.13,normal
0.36,normal
-34.94,normal
-92.44,normal
-149.16,normal
-205.23,normal
-260.37,normal
-313.74,normal
-363.87,normal
-409.83,normal
-450.91,normal
-486.5,normal
-515.74,normal
-537.23,normal
-549.22,normal
-549.96,normal
-538.37,normal
-514.21,normal
-478.68,normal
-433.88,normal
-382.45,normal
-327.01,normal
-269.82,normal
-212.6,normal
-156.63,normal
-102.95,normal
-52.43,normal
-6.05,normal
-1.96,normal
-5.45,normal
-8.85,normal
-11.61,normal
-13.4,normal
-14.23,normal
-14.5,normal
-14.78,normal
-15.56,normal
-17.14,normal
-19.65,normal
-23.03,normal
-26.94,normal
-30.61,normal
-32.7,normal
-31.66,normal
-26.25,normal
-16.29,normal
-3.0,normal
0.2,normal
-1.02,normal
-1.09,normal
0.12,normal
-0.73,normal
-0.89,normal
-0.31,normal
-0.25,normal
-2.27,normal
-4.77,normal
-7.91,normal
-11.58,normal
-15.47,normal
-19.06,normal
-21.8,normal
-23.17,normal
-22.81,normal
-20.54,normal
-16.5,normal
-11.2,normal
-5.52,normal
-0.43,normal
0.13,normal
-1.7,normal
-3.21,normal
-4.4,normal
-5.32,normal
-6.0,normal
-6.49,normal
-6.77,normal
-6.81,normal
-6.55,normal
-5.98,normal
-5.21,normal
-4.43,normal
-3.83,normal
-3.59,normal
-3.74,normal
-4.25,normal
-5.07,normal
-6.1,normal
-7.23,normal
-8.34,normal
-9.33,normal
-10.13,normal
-10.76,normal
-11.29,normal
-11.83,normal
-12.52,normal
-13.36,normal
-14.25,normal
-15.01,normal
-15.53,normal
-15.81,normal
-15.99,normal
-16.35,normal
-17.18,normal
-18.79,normal
-21.21,normal
-24.17,normal
-27.04,normal
-29.02,normal
-29.27,normal
-27.16,normal
-22.44,normal
-15.0,normal
-5.51,normal
-1.32,normal
-5.33,normal
-9.32,normal
-13.2,normal
-16.87,normal
-20.27,normal
-23.35,normal
-26.08,normal
-28.59,normal
-31.17,normal
-34.16,normal
-37.83,normal
-42.19,normal
-46.74,normal
-50.54,normal
-52.38,normal
-51.14,normal
-46.23,normal
-37.83,normal
-26.87,normal
-14.7,normal
-2.73,normal
-1.91,normal
-6.74,normal
-11.05,normal
-14.58,normal
-17.44,normal
-20.0,normal
-22.77,normal
-26.16,normal
-30.4,normal
-35.48,normal
-41.21,normal
-47.09,normal
-52.34,normal
-55.92,normal
-56.7,normal
-53.85,normal
-47.12,normal
-37.0,normal
-24.69,normal
-11.71,normal
0.47,normal
0.21,normal
-0.77,normal
-3.1,normal
-7.12,normal
-12.75,normal
-19.62,normal
-27.31,normal
-35.38,normal
-43.33,normal
-50.4,normal
-55.55,normal
-57.7,normal
-56.11,normal
-50.75,normal
-42.38,normal
-32.25,normal
-21.65,normal
-11.44,normal
-1.94,normal
-14.86,normal
-39.56,normal
-69.71,normal
-103.07,normal
-136.23,normal
-165.37,normal
-187.08,normal
-199.33,normal
-202.07,normal
-197.17,normal
-187.76,normal
-177.12,normal
-167.57,normal
-159.82,normal
