A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
35.34,stress
71.1,stress
100.97,stress
125.11,stress
143.99,stress
158.3,stress
168.73,stress
175.88,stress
180.16,stress
181.88,stress
181.3,stress
178.72,stress
174.48,stress
168.95,stress
162.49,stress
155.4,stress
147.91,stress
140.16,stress
132.31,stress
124.46,stress
116.71,stress
109.12,stress
101.69,stress
94.35,stress
87.05,stress
79.76,stress
72.56,stress
65.6,stress
59.08,stress
53.14,stress
47.79,stress
42.87,stress
38.12,stress
33.29,stress
28.27,stress
23.16,stress
18.27,stress
13.97,stress
10.5,stress
7.86,stress
5.73,stress
3.63,stress
1.13,stress
11.21,stress
23.66,stress
32.49,stress
37.36,stress
39.34,stress
40.04,stress
40.62,stress
41.16,stress
40.87,stress
38.86,stress
34.86,stress
29.52,stress
24.07,stress
19.63,stress
16.65,stress
14.83,stress
13.41,stress
11.71,stress
9.54,stress
7.23,stress
5.31,stress
4.14,stress
3.66,stress
3.4,stress
2.85,stress
1.72,stress
0.59,stress
4.05,stress
8.62,stress
13.18,stress
16.58,stress
18.09,stress
17.59,stress
15.61,stress
12.91,stress
10.24,stress
7.97,stress
6.14,stress
4.55,stress
3.0,stress
1.47,stress
0.78,stress
2.07,stress
3.31,stress
4.32,stress
5.12,stress
5.8,stress
6.44,stress
7.07,stress
7.68,stress
8.23,stress
8.67,stress
8.9,stress
8.74,stress
8.06,stress
6.84,stress
5.2,stress
3.35,stress
1.56,stress
3.23,stress
5.05,stress
5.15,stress
3.97,stress
2.12,stress
5.0,stress
15.36,stress
24.52,stress
31.79,stress
36.83,stress
39.67,stress
40.55,stress
39.85,stress
37.98,stress
35.37,stress
32.4,stress
29.4,stress
26.6,stress
24.17,stress
22.23,stress
20.85,stress
20.03,stress
19.63,stress
19.4,stress
19.12,stress
18.65,stress
17.94,stress
17.04,stress
16.02,stress
14.87,stress
13.46,stress
11.61,stress
9.16,stress
6.11,stress
2.56,stress
7.97,stress
16.81,stress
23.58,stress
28.34,stress
31.24,stress
32.4,stress
32.0,stress
30.27,stress
27.59,stress
24.44,stress
21.35,stress
18.81,stress
17.15,stress
16.5,stress
16.77,stress
17.62,stress
18.6,stress
19.27,stress
19.33,stress
18.74,stress
17.66,stress
16.31,stress
14.77,stress
12.92,stress
10.46,stress
7.12,stress
2.89,stress
10.79,stress
18.77,stress
24.45,stress
28.18,stress
30.36,stress
31.25,stress
30.99,stress
29.69,stress
27.61,stress
25.26,stress
23.2,stress
21.95,stress
21.64,stress
21.96,stress
22.36,stress
22.27,stress
21.41,stress
19.87,stress
17.97,stress
15.98,stress
13.99,stress
11.84,stress
9.4,stress
6.72,stress
4.16,stress
2.16,stress
0.99,stress
0.52,stress
6.95,stress
15.33,stress
23.1,stress
29.87,stress
35.26,stress
39.18,stress
42.03,stress
44.65,stress
47.95,stress
52.5,stress
58.16,stress
64.05,stress
68.95,stress
71.88,stress
72.7,stress
72.47,stress
73.36,stress
78.05,stress
88.79,stress
106.33,stress
129.22,stress
153.84,stress
175.3,stress
188.95,stress
191.95,stress
184.23,stress
168.32,stress
148.25,stress
128.05,stress
110.53,stress
96.77,stress
86.46,stress
78.48,stress
71.65,stress
65.12,stress
58.46,stress
51.65,stress
44.93,stress
38.53,stress
32.32,stress
25.5,stress
16.55,stress
3.63,stress
17.17,stress
32.11,stress
37.52,stress
33.51,stress
22.26,stress
7.07,stress
2.87,stress
16.07,stress
28.52,stress
39.46,stress
48.69,stress
56.65,stress
64.12,stress
71.82,stress
80.1,stress
88.77,stress
97.11,stress
104.01,stress
108.14,stress
108.12,stress
102.87,stress
92.05,stress
76.45,stress
58.07,stress
39.79,stress
24.6,stress
14.73,stress
11.04,stress
12.84,stress
18.26,stress
24.94,stress
30.86,stress
34.81,stress
36.68,stress
37.27,stress
37.87,stress
39.87,stress
44.46,stress
52.56,stress
64.72,stress
80.96,stress
100.5,stress
121.58,stress
141.53,stress
157.28,stress
166.08,stress
166.16,stress
157.1,stress
139.63,stress
115.33,stress
86.14,stress
54.15,stress
21.51,stress
2.17,stress
29.14,stress
52.76,stress
72.33,stress
87.83,stress
99.61,stress
108.16,stress
113.98,stress
117.58,stress
119.51,stress
120.15,stress
119.55,stress
117.34,stress
112.84,stress
105.5,stress
95.26,stress
82.75,stress
69.15,stress
55.79,stress
43.6,stress
32.82,stress
22.96,stress
13.17,stress
2.73,stress
3.93,stress
17.95,stress
27.61,stress
33.45,stress
36.52,stress
37.85,stress
38.14,stress
37.7,stress
36.75,stress
35.51,stress
34.37,stress
33.74,stress
33.87,stress
34.7,stress
35.91,stress
36.99,stress
37.57,stress
37.52,stress
37.03,stress
36.48,stress
36.22,stress
36.34,stress
36.68,stress
36.79,stress
36.16,stress
34.4,stress
31.35,stress
27.18,stress
22.27,stress
17.14,stress
12.24,stress
7.82,stress
3.9,stress
5.4,stress
14.19,stress
21.47,stress
27.27,stress
31.73,stress
34.99,stress
37.11,stress
38.15,stress
38.25,stress
37.6,stress
36.45,stress
35.0,stress
33.39,stress
31.74,stress
30.13,stress
28.65,stress
27.37,stress
26.32,stress
25.48,stress
24.8,stress
24.21,stress
23.6,stress
22.84,stress
21.77,stress
20.21,stress
18.01,stress
15.1,stress
11.55,stress
7.51,stress
3.29,stress
7.1,stress
15.74,stress
22.66,stress
27.93,stress
31.68,stress
34.08,stress
35.26,stress
35.4,stress
34.74,stress
33.59,stress
32.27,stress
31.07,stress
30.16,stress
29.53,stress
29.08,stress
28.69,stress
28.28,stress
27.83,stress
27.33,stress
26.74,stress
25.93,stress
24.73,stress
23.02,stress
20.75,stress
18.05,stress
15.12,stress
12.11,stress
9.08,stress
5.95,stress
2.55,stress
8.72,stress
16.77,stress
22.77,stress
27.02,stress
29.85,stress
31.45,stress
31.91,stress
31.31,stress
29.91,stress
28.11,stress
26.38,stress
25.13,stress
24.6,stress
24.76,stress
25.38,stress
26.19,stress
26.9,stress
27.35,stress
27.42,stress
27.02,stress
26.08,stress
24.58,stress
22.56,stress
20.1,stress
17.34,stress
14.31,stress
10.98,stress
7.27,stress
3.14,stress
2.87,stress
12.57,stress
19.93,stress
25.22,stress
28.95,stress
31.56,stress
33.34,stress
34.45,stress
34.99,stress
35.05,stress
34.78,stress
34.33,stress
33.81,stress
33.32,stress
32.92,stress
32.65,stress
32.52,stress
32.49,stress
32.44,stress
32.2,stress
31.58,stress
30.39,stress
