A,label
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.0,normal
0.01,normal
0.01,normal
0.0,normal
-0.03,normal
-0.05,normal
-0.05,normal
0.0,normal
0.13,normal
0.36,normal
-34.94,normal
-92.44,normal
-149.16,normal
-205.23,normal
-260.37,normal
-313.74,normal
-363.87,normal
-409.83,normal
-450.91,normal
-486.5,normal
-515.74,normal
-537.23,normal
-549.22,normal
-549.96,normal
-538.37,normal
-514.21,normal
-478.67,normal
-433.88,normal
-382.45,normal
-327.02,normal
-269.84,normal
-212.63,normal
-156.66,normal
-102.95,normal
-52.37,normal
-5.9,normal
0.48,normal
0.37,normal
0.3,normal
0.24,normal
0.21,normal
0.19,normal
0.18,normal
0.19,normal
0.21,normal
0.23,normal
0.26,normal
0.29,normal
0.33,normal
0.38,normal
0.42,normal
0.47,normal
-4.74,normal
-11.68,normal
-18.94,normal
-25.7,normal
-31.37,normal
-35.7,normal
-38.91,normal
-41.44,normal
-43.78,normal
-46.32,normal
-49.37,normal
-53.11,normal
-57.36,normal
-61.25,normal
-63.2,normal
-61.26,normal
-53.99,normal
-41.31,normal
-24.95,normal
-7.88,normal
-0.54,normal
-1.52,normal
-1.86,normal
-1.84,normal
-1.9,normal
-2.17,normal
-2.79,normal
-3.75,normal
-5.02,normal
-6.57,normal
-8.42,normal
-10.59,normal
-13.02,normal
-15.6,normal
-18.23,normal
-20.92,normal
-23.7,normal
-26.6,normal
-29.47,normal
-31.98,normal
-33.67,normal
-34.03,normal
-32.78,normal
-29.88,normal
-25.67,normal
-20.81,normal
-16.1,normal
-12.33,normal
-10.1,normal
-9.69,normal
-11.1,normal
-14.08,normal
-18.25,normal
-23.21,normal
-28.54,normal
-33.74,normal
-38.33,normal
-41.9,normal
-44.18,normal
-45.06,normal
-44.55,normal
-42.6,normal
-39.08,normal
-33.79,normal
-26.59,normal
-17.59,normal
-7.2,normal
-0.02,normal
-4.16,normal
-7.81,normal
-10.57,normal
-12.14,normal
-12.49,normal
-11.97,normal
-11.17,normal
-10.73,normal
-10.96,normal
-11.79,normal
-12.72,normal
-13.07,normal
-12.33,normal
-10.35,normal
-7.42,normal
-4.01,normal
-0.63,normal
-0.24,normal
-1.85,normal
-3.13,normal
-4.21,normal
-5.25,normal
-6.5,normal
-8.18,normal
-10.47,normal
-13.45,normal
-17.02,normal
-20.87,normal
-24.48,normal
-27.23,normal
-28.51,normal
-27.92,normal
-25.36,normal
-21.09,normal
-15.57,normal
-9.45,normal
-3.36,normal
-0.26,normal
-1.52,normal
-2.91,normal
-4.5,normal
-6.35,normal
-8.49,normal
-10.92,normal
-13.6,normal
-16.44,normal
-19.3,normal
-21.86,normal
-23.63,normal
-24.01,normal
-22.46,normal
-18.82,normal
-13.41,normal
-7.01,normal
-0.59,normal
-0.24,normal
-1.15,normal
-1.96,normal
-2.75,normal
-3.76,normal
-5.29,normal
-7.64,normal
-10.84,normal
-14.69,normal
-18.78,normal
-22.6,normal
-25.71,normal
-27.74,normal
-28.46,normal
-27.75,normal
-25.53,normal
-21.87,normal
-16.93,normal
-11.04,normal
-4.64,normal
0.17,normal
-1.38,normal
-2.95,normal
-4.48,normal
