A,label
0.66,stress
1.01,stress
1.37,stress
1.72,stress
2.06,stress
2.4,stress
2.79,stress
3.24,stress
3.8,stress
4.42,stress
5.06,stress
5.66,stress
6.2,stress
6.68,stress
7.15,stress
7.68,stress
8.31,stress
9.14,stress
10.09,stress
11.04,stress
11.88,stress
12.56,stress
13.14,stress
13.76,stress
14.65,stress
15.96,stress
17.91,stress
20.32,stress
22.9,stress
25.38,stress
27.58,stress
29.57,stress
31.68,stress
34.32,stress
37.81,stress
42.54,stress
48.15,stress
54.1,stress
59.83,stress
64.97,stress
69.58,stress
74.14,stress
79.34,stress
85.71,stress
93.76,stress
103.0,stress
112.62,stress
121.73,stress
129.77,stress
136.75,stress
143.3,stress
150.75,stress
157.77,stress
166.64,stress
177.95,stress
191.79,stress
206.97,stress
220.57,stress
228.25,stress
225.36,stress
208.53,stress
176.87,stress
132.76,stress
80.05,stress
23.07,stress
36.7,stress
72.64,stress
102.68,stress
126.95,stress
145.97,stress
160.43,stress
171.05,stress
178.46,stress
183.05,stress
185.1,stress
184.85,stress
182.58,stress
178.62,stress
173.4,stress
167.31,stress
160.71,stress
153.84,stress
146.85,stress
139.8,stress
132.75,stress
125.73,stress
118.8,stress
112.05,stress
105.53,stress
99.3,stress
93.4,stress
87.84,stress
82.64,stress
77.79,stress
73.31,stress
69.2,stress
65.48,stress
62.16,stress
59.24,stress
56.73,stress
54.6,stress
52.84,stress
51.43,stress
50.29,stress
49.33,stress
48.45,stress
47.49,stress
46.27,stress
44.63,stress
42.41,stress
39.48,stress
35.78,stress
31.31,stress
26.08,stress
20.25,stress
14.0,stress
7.55,stress
1.18,stress
3.07,stress
5.93,stress
8.9,stress
11.92,stress
15.0,stress
18.11,stress
21.29,stress
24.55,stress
27.92,stress
31.45,stress
35.17,stress
39.17,stress
43.36,stress
47.69,stress
52.15,stress
56.7,stress
61.36,stress
66.13,stress
71.04,stress
76.11,stress
81.44,stress
86.88,stress
92.33,stress
97.75,stress
103.13,stress
108.48,stress
113.8,stress
119.13,stress
124.51,stress
130.02,stress
135.4,stress
140.42,stress
144.88,stress
148.55,stress
151.14,stress
152.28,stress
151.45,stress
147.95,stress
143.07,stress
137.26,stress
130.82,stress
123.98,stress
116.87,stress
109.66,stress
102.46,stress
95.43,stress
88.71,stress
82.49,stress
76.62,stress
71.02,stress
65.67,stress
60.52,stress
55.56,stress
50.77,stress
46.17,stress
41.79,stress
37.71,stress
33.81,stress
30.03,stress
26.38,stress
22.88,stress
19.58,stress
16.57,stress
13.89,stress
11.62,stress
9.82,stress
8.4,stress
7.26,stress
6.33,stress
5.56,stress
4.87,stress
4.22,stress
3.58,stress
2.96,stress
2.39,stress
1.83,stress
1.27,stress
0.73,stress
6.22,stress
11.16,stress
13.88,stress
14.09,stress
12.39,stress
10.05,stress
8.47,stress
8.53,stress
10.46,stress
13.76,stress
17.62,stress
21.25,stress
24.1,stress
25.97,stress
26.85,stress
26.92,stress
26.38,stress
25.46,stress
24.33,stress
23.16,stress
21.97,stress
20.67,stress
19.11,stress
17.02,stress
14.19,stress
10.51,stress
6.11,stress
1.4,stress
6.58,stress
15.07,stress
23.7,stress
31.2,stress
36.72,stress
39.99,stress
41.37,stress
41.62,stress
41.61,stress
42.0,stress
43.02,stress
44.58,stress
46.35,stress
47.99,stress
49.28,stress
50.16,stress
50.67,stress
50.83,stress
50.7,stress
50.36,stress
49.88,stress
49.33,stress
48.68,stress
47.78,stress
46.31,stress
44.03,stress
40.82,stress
36.78,stress
32.32,stress
27.91,stress
23.98,stress
20.7,stress
18.11,stress
16.03,stress
14.33,stress
12.89,stress
11.68,stress
10.65,stress
9.75,stress
8.88,stress
7.99,stress
7.03,stress
5.98,stress
4.82,stress
3.59,stress
2.33,stress
1.11,stress
5.09,stress
11.05,stress
15.83,stress
19.57,stress
22.48,stress
24.65,stress
26.06,stress
26.64,stress
26.36,stress
25.42,stress
24.11,stress
22.78,stress
21.7,stress
21.0,stress
20.71,stress
20.78,stress
21.19,stress
21.87,stress
22.69,stress
23.46,stress
24.03,stress
24.26,stress
24.22,stress
24.08,stress
24.03,stress
24.19,stress
24.43,stress
24.45,stress
23.94,stress
22.77,stress
21.08,stress
19.16,stress
17.37,stress
15.85,stress
14.57,stress
13.33,stress
11.91,stress
10.17,stress
8.1,stress
5.73,stress
3.07,stress
5.2,stress
10.08,stress
13.84,stress
16.43,stress
18.01,stress
18.84,stress
19.21,stress
19.33,stress
19.35,stress
19.39,stress
19.63,stress
20.26,stress
21.29,stress
22.57,stress
23.85,stress
24.79,stress
25.31,stress
25.39,stress
25.18,stress
24.76,stress
24.11,stress
23.1,stress
21.68,stress
19.85,stress
17.77,stress
15.65,stress
13.62,stress
11.69,stress
9.79,stress
7.83,stress
5.82,stress
3.88,stress
2.18,stress
0.78,stress
5.59,stress
12.1,stress
17.11,stress
20.76,stress
23.4,stress
25.26,stress
26.35,stress
26.64,stress
26.11,stress
24.88,stress
23.18,stress
21.25,stress
19.28,stress
17.38,stress
15.64,stress
14.19,stress
13.09,stress
12.36,stress
11.86,stress
11.38,stress
10.72,stress
9.79,stress
8.66,stress
7.47,stress
6.34,stress
5.3,stress
4.28,stress
3.2,stress
2.1,stress
1.08,stress
1.86,stress
4.71,stress
7.44,stress
9.56,stress
10.63,stress
10.31,stress
8.54,stress
5.49,stress
1.61,stress
5.42,stress
11.82,stress
17.42,stress
22.19,stress
26.53,stress
30.96,stress
35.93,stress
41.52,stress
47.44,stress
53.18,stress
58.3,stress
62.75,stress
66.79,stress
71.04,stress
76.05,stress
82.11,stress
89.04,stress
96.29,stress
103.31,stress
109.77,stress
115.88,stress
122.27,stress
129.77,stress
138.97,stress
149.94,stress
162.18,stress
174.88,stress
187.31,stress
199.15,stress
210.62,stress
222.36,stress
235.22,stress
250.08,stress
267.76,stress
288.76,stress
312.82,stress
338.37,stress
362.32,stress
380.55,stress
389.19,stress
386.1,stress
371.78,stress
349.32,stress
323.17,stress
297.37,stress
274.43,stress
254.94,stress
238.33,stress
223.78,stress
210.86,stress
199.54,stress
189.68,stress
180.69,stress
171.5,stress
161.09,stress
149.03,stress
135.81,stress
122.69,stress
111.24,stress
102.51,stress
96.69,stress
92.86,stress
89.37,stress
84.52,stress
77.15,stress
67.2,stress
55.65,stress
44.18,stress
34.49,stress
27.63,stress
23.72,stress
21.98,stress
21.19,stress
20.21,stress
18.36,stress
15.62,stress
12.37,stress
9.11,stress
6.15,stress
3.37,stress
0.56,stress
0.55,stress
4.84,stress
7.73,stress
9.3,stress
9.79,stress
9.64,stress
9.35,stress
9.47,stress
10.33,stress
11.92,stress
13.88,stress
15.63,stress
16.68,stress
16.84,stress
16.28,stress
15.38,stress
14.47,stress
13.74,stress
13.15,stress
12.56,stress
11.88,stress
11.08,stress
10.23,stress
9.3,stress
8.25,stress
7.03,stress
5.65,stress
4.21,stress
2.8,stress
1.41,stress
3.37,stress
6.12,stress
8.19,stress
9.87,stress
11.22,stress
12.03,stress
11.99,stress
11.02,stress
9.39,stress
7.7,stress
6.59,stress
6.37,stress
6.74,stress
6.93,stress
6.01,stress
3.39,stress
2.51,stress
8.8,stress
17.57,stress
27.45,stress
36.82,stress
44.32,stress
49.15,stress
51.02,stress
50.02,stress
